Timestep,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
46,2.9032478342353428e-08,3.133586153916881e-08,3.2421710768670837e-08,3.150163503916001e-08,3.0937758553591284e-08,2.9038495052222672e-08,2.4420239192890634e-08,2.347948310057727e-08,2.218106483281114e-08,2.1917438484300767e-08,2.116640569060275e-08,2.1113091393038545e-08,2.170234337737529e-08,2.2068057216605007e-08,2.2151971672405015e-08,2.2224314135097833e-08,2.2309044668130912e-08,2.236191786875635e-08,2.2406488531508058e-08,2.245133552438424e-08,2.2502679282803264e-08,0,0,0,0,0,0,0,0,0,0
47,2.6625258915558066e-08,2.873765777017077e-08,2.9733474129278292e-08,2.8889686209030045e-08,2.8372563376882425e-08,2.5609917038703654e-08,2.1536939110326213e-08,2.0707258183870757e-08,2.0341928347702463e-08,2.0100160500559622e-08,1.9411399370680013e-08,1.9362505612461778e-08,1.9902899941339445e-08,2.0238290724849962e-08,2.0315247438158652e-08,2.0381591646774677e-08,2.045929677251201e-08,2.0507786007214824e-08,2.0548661106536643e-08,2.0589789624151705e-08,2.0636876229900073e-08,0,0,0,0,0,0,0,0,0,0
48,1.6875286720400115e-08,1.8214140793237092e-08,1.8845296592852064e-08,1.8310497546181422e-08,1.798274125694372e-08,1.623175550271361e-08,1.3650271860987685e-08,1.3124413931688765e-08,1.289286516995058e-08,1.273963091396649e-08,1.2303088997681373e-08,1.2272099770820222e-08,1.2614605707412654e-08,1.2827178875360796e-08,1.2875954611448945e-08,1.2918004063294055e-08,1.296725414873439e-08,1.2997986985588966e-08,1.3023893926924946e-08,1.3049961486656115e-08,1.3079805326868685e-08,0,0,0,0,0,0,0,0,0,0
49,1.658115110723874e-08,1.789666900391633e-08,1.851682378167039e-08,1.7991346262279077e-08,1.766930275284178e-08,1.5948836614484952e-08,1.3412348135591254e-08,1.2895655890231976e-08,1.266814301470649e-08,1.2517579626043791e-08,1.2088646618949058e-08,1.2058197533147152e-08,1.2394733604140251e-08,1.2603601629762126e-08,1.2651527206603832e-08,1.2692843738084002e-08,1.274123539638652e-08,1.277143256105003e-08,1.2796887945372414e-08,1.2822501148517402e-08,1.2851824811716954e-08,0,0,0,0,0,0,0,0,0,0
50,1.577138832463117e-08,1.7022661138099872e-08,1.761252982442194e-08,1.7112714705400063e-08,1.6806398623246677e-08,1.516995375932174e-08,1.2757338101768188e-08,1.2265879216122475e-08,1.2049477237420284e-08,1.1906266814047773e-08,1.1498281326406353e-08,1.1469319262602335e-08,1.1789420142604615e-08,1.1988087817687981e-08,1.2033672884621153e-08,1.207297166779889e-08,1.2119000054478788e-08,1.2147722500051528e-08,1.2171934736494258e-08,1.2196297084465436e-08,1.2224188687191313e-08,0,0,0,0,0,0,0,0,0,0
51,1.566331335875791e-08,1.690601170409291e-08,1.7491838258116175e-08,1.6995448170601943e-08,1.6691231149066666e-08,1.5066000182053136e-08,1.2669917206942524e-08,1.218182609090599e-08,1.1966907027720294e-08,1.182467796764314e-08,1.1419488240067102e-08,1.139072464161013e-08,1.1708631999332053e-08,1.1905938284931958e-08,1.1951210975779286e-08,1.199024046023941e-08,1.2035953432941971e-08,1.2064479055174798e-08,1.2088525374922474e-08,1.2112720777544812e-08,1.2140421250361848e-08,0,0,0,0,0,0,0,0,0,0
52,1.642612178496154e-08,1.7729339941612254e-08,1.8343696438277116e-08,1.782313199296469e-08,1.75040995040946e-08,1.5799719263375716e-08,1.3286946272466153e-08,1.2775084961226341e-08,1.2549699270157104e-08,1.2400543608856224e-08,1.1975621010505863e-08,1.1945456615501673e-08,1.2278846164358257e-08,1.248576132987723e-08,1.2533238815410349e-08,1.2574169048386105e-08,1.2622108257643196e-08,1.2652023086904168e-08,1.267724047020031e-08,1.2702614196755327e-08,1.2731663691557093e-08,0,0,0,0,0,0,0,0,0,0
53,1.925907196348083e-08,2.0787051153677104e-08,2.1507363357336335e-08,2.0897019160139405e-08,2.0522964362404816e-08,1.852463620321679e-08,1.557849489893622e-08,1.497835483194156e-08,1.4714097735795172e-08,1.453921777006988e-08,1.4041010402093882e-08,1.4005643669658448e-08,1.4396531634411007e-08,1.4639132664357908e-08,1.4694798409595752e-08,1.4742787722756927e-08,1.4798994823437258e-08,1.48340689484836e-08,1.486363547708902e-08,1.48933853128751e-08,1.4927444862549338e-08,0,0,0,0,0,0,0,0,0,0
54,2.354082959065549e-08,2.5408515520833472e-08,2.6288970553690974e-08,2.5542932075559568e-08,2.508571584687865e-08,2.2643110992872392e-08,1.9041971201423915e-08,1.8308405478504613e-08,1.7985397636782008e-08,1.7771637623850693e-08,1.7162666704973037e-08,1.7119437092299095e-08,1.7597228908266486e-08,1.7893766016353873e-08,1.796180760346491e-08,1.8020466101934726e-08,1.8089169400899984e-08,1.8132041352483265e-08,1.8168181235692955e-08,1.820454517970429e-08,1.8246176991264887e-08,0,0,0,0,0,0,0,0,0,0
55,2.401516483123502e-08,2.5920483643109297e-08,2.68186793782739e-08,2.6057608620177875e-08,2.5591179726794852e-08,2.3099357679460543e-08,1.9425656829670473e-08,1.8677310146194034e-08,1.83477938676416e-08,1.8129726703733736e-08,1.7508485343570277e-08,1.746438467711088e-08,1.7951803744959966e-08,1.8254315918622822e-08,1.832372850765491e-08,1.8383568943782294e-08,1.8453656577811777e-08,1.849739237649909e-08,1.8534260459202808e-08,1.857135711741457e-08,1.8613827787914963e-08,0,0,0,0,0,0,0,0,0,0
